year,q_no,category,topic,question,choice1,choice2,choice3,choice4,explanation,difficulty,tags
2024,11,借地借家法,借地・借家（期間・更新・対抗力・定期借家等）,"建物の所有を目的とする土地の賃貸借契約（一時使用目的の借地契約を除く。
）に関する次の記述のうち、借地借家法の規定によれば、正しいものはどれか。","専ら事業の用に供する建物（居住の用に供するものを除く。）の所有を目的とし、存続期
間を20年として借地権を設定する場合、建物買取請求権の規定は適用されず、また、その契
約は、公正証書による等書面によってしなければならない。","居住の用に供する建物の所有を目的として借地権を設定する場合において、借地権を消滅
させる目的で、その設定後30年を経過した日に借地権の目的である土地の上の建物を借地権
設定者に相当の対価で譲渡する旨の特約を定めても、この特約は無効である。",借地権を設定する場合において、存続期間を定めなかったときは、その期間は30年となる。,"当事者が借地権の設定後に最初に借地契約を更新する場合において、存続期間を定めなか
ったときは、その期間は更新の日から10年となる。",判断基準：各特別法の条文要件と手続。 / 正解肢の要点：借地権を設定する場合において、存続期間を定めなかったときは、その期間は30年となる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,4,R6;借地借家法
2024,12,借地借家法,借地・借家（期間・更新・対抗力・定期借家等）,"賃貸人Ａと賃借人Ｂとが、居住目的で期間を３年として、借地借家法第38条の
定期建物賃貸借契約（以下この問において「契約①」という。）を締結した場合と、定期建物
賃貸借契約でも一時使用目的の賃貸借契約でもない普通建物賃貸借契約（以下この問において
「契約②」という。）を締結した場合とに関する次の記述のうち、借地借家法の規定によれば、
正しいものはどれか。","Ｂが建物の引渡しを受けた後にＡが建物をＣに売却して建物所有者がＣに変わった場合、
Ｂは、契約①の場合ではＣに対して賃借人であることを主張できるが、契約②の場合ではＣ
に対して賃借人であることを主張できない。","契約期間中は賃料の改定を行わない旨の特約を契約において定めていても、契約期間中に
賃料が不相当になったと考えるに至ったＢは、契約①の場合も契約②の場合も、借地借家法
第32条に基づく賃料減額請求をすることができる。","Ｂが契約期間中に相続人なしで死亡した場合において、婚姻はしていないが事実上夫婦と
同様の関係にあった同居者Ｄがあるときは、契約①の場合も契約②の場合も、Ａに反対の意
思表示をしないＤは、建物の賃貸借契約に関し、Ｂの権利義務を承継する。","契約①の場合、公正証書によって契約をするときに限り契約の更新がないことを有効に定
めることができ、契約②の場合、書面で契約し、かつ、Ａに正当な理由がない限り、Ａは契
約の更新を拒絶することができなくなる。","判断基準：各特別法の条文要件と手続。 / 正解肢の要点：Ｂが契約期間中に相続人なしで死亡した場合において、婚姻はしていないが事実上夫婦と
同様の関係にあった同居者Ｄがあるときは、契約①の場合も契約②の場合も、Ａに反対の意
思表示をしないＤは、建物の賃貸借契約に関し、Ｂの権利義務を承継する / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;借地借家法
2024,13,区分所有法,管理者・集会・規約,"建物の区分所有等に関する法律に関する次の記述のうち、誤っているものはど
れか。","各共有者の共用部分の持分は、規約に別段の定めがない限り、共有者数で等分することと
されている。",規約及び集会の決議は、区分所有者の特定承継人に対しても、その効力を生ずる。,"管理者は、集会において、毎年１回一定の時期に、その事務に関する報告をしなければな
らない。","集会の招集の通知は、区分所有者が管理者に対して通知を受けるべき場所を通知しなかっ
たときは区分所有者の所有する専有部分が所在する場所にあててすれば足りる。この場合に
は、集会の招集の通知は、通常それが到達すべき時に到達したものとみなされる。","判断基準：各特別法の条文要件と手続。 / 正解肢の要点：各共有者の共用部分の持分は、規約に別段の定めがない限り、共有者数で等分することと
されている / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;区分所有法
2024,14,不動産登記法,申請主体・登記事項,"不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、誤って
いるものはどれか。","買戻しの特約に関する登記がされている場合において、契約の日から10年を経過したとき
は、登記権利者は、単独で当該登記の抹消を申請することができる。",不動産の収用による所有権の移転の登記は、起業者が単独で申請することができる。,"相続人ではない者に対する遺贈による所有権の移転の登記は、登記権利者が単独で申請す
ることができる。",登記名義人の住所についての変更の登記は、登記名義人が単独で申請することができる。,"判断基準：各特別法の条文要件と手続。 / 正解肢の要点：相続人ではない者に対する遺贈による所有権の移転の登記は、登記権利者が単独で申請す
ることができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;不動産登記法
2024,15,都市計画法,用途地域・開発許可・地区計画,都市計画法に関する次の記述のうち、誤っているものはどれか。,"都市計画区域外においても、特に必要があるときは、都市施設に関する都市計画を定める
ことができる。","準都市計画区域については、用途地域が定められている土地の区域であっても、市街地開
発事業に関する都市計画を定めることができない。","用途地域の一つである準住居地域は、道路の沿道としての地域の特性にふさわしい業務の
利便の増進を図りつつ、これと調和した住居の環境を保護するために定める地域である。","地区計画は、用途地域が定められている土地の区域についてのみ都市計画に定められるも
のであり、また、地区計画に関する都市計画を定めるに当たっては、地区整備計画を都市計
画に定めなければならない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：地区計画は、用途地域が定められている土地の区域についてのみ都市計画に定められるも
のであり、また、地区計画に関する都市計画を定めるに当たっては、地区整備計画を都市計
画に定めなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;都市計画法
2024,16,都市計画法,用途地域・開発許可・地区計画,"都市計画法（以下この問において「法」という。）に関する次の記述のうち、
正しいものはどれか。ただし、この問において条例による特別の定めはないものとし、「都道
府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市にあってはその長を
いうものとする。","市街化区域内において行う、医療法に規定する病院を建築するための1,000㎡の開発行為
については、法第29条に基づく都道府県知事の許可を得る必要がある。","市街化区域内において行う、開発行為を伴わない建築物の建築で、当該建築物の床面積が
1,000㎡以上のものについては、法第29条に基づく都道府県知事の許可を得る必要がある。","市街化調整区域内において行う、都市計画事業の施行のための開発行為については、法第
29条に基づく都道府県知事の許可を得る必要がある。","法第29条に基づく許可を受けた者は、当該許可に係る土地についての一定の事項を開発登
録簿に登録しなければならない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：市街化区域内において行う、医療法に規定する病院を建築するための1,000㎡の開発行為
については、法第29条に基づく都道府県知事の許可を得る必要がある / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;都市計画法
2024,17,建築基準法,用途制限・確認・避難・防火等,"建築基準法に関する次の記述のうち、誤っているものはどれか。なお、建築副
主事の確認にあっては、建築基準法に定める大規模建築物以外の建築物に限るものとする。","高さ25ｍの建築物には、周囲の状況によって安全上支障がない場合を除き、有効に避雷設
備を設けなければならない。","特定行政庁は、建築基準法の規定に違反した建築物（国、都道府県又は建築主事を置く市
町村の建築物を除く。）の所有者に対して、緊急の必要があり、仮に当該建築物の使用禁止
又は使用制限の命令をする場合であっても、意見書の提出先等を記載した通知書の交付等の
手続をとらなければならない。","防火地域内に存在する共同住宅（その用途に供する部分の床面積の合計が300㎡）を増築
する場合、その増築に係る部分の床面積の合計が10㎡以内であっても、建築主事、建築副主
事又は指定確認検査機関の確認を受ける必要がある。","劇場の用途に供する建築物を映画館（その用途に供する部分の床面積の合計が500㎡）に
用途変更する場合、建築主事、建築副主事又は指定確認検査機関の確認を受ける必要はない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：特定行政庁は、建築基準法の規定に違反した建築物（国、都道府県又は建築主事を置く市
町村の建築物を除く / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;建築基準法
2024,18,建築基準法,用途制限・確認・避難・防火等,次の記述のうち、建築基準法の規定によれば、正しいものはどれか。,"客席部分の床面積の合計が300㎡の映画館については、第二種住居地域内において建築す
ることはできないが、準住居地域内においては建築することができる。","特定用途誘導地区内において、都市計画で建築物の高さの最高限度が定められていたとし
ても、特定行政庁が用途上又は構造上やむを得ないと認めて許可したものについては、当該
最高限度を超えてよい。","計画しようとする建築物の天空率が、道路斜線制限、隣地斜線制限又は北側斜線制限に適
合する建築物の天空率未満であれば、これらの制限は適用されない。","都市計画で建蔽率の限度が80％に指定されている区域かつ防火地域内にある耐火建築物に
ついて、建蔽率の限度を超えるためには、特定行政庁による許可を得る必要がある。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：特定用途誘導地区内において、都市計画で建築物の高さの最高限度が定められていたとし
ても、特定行政庁が用途上又は構造上やむを得ないと認めて許可したものについては、当該
最高限度を超えてよい / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;建築基準法
2024,19,宅地造成等規制法,特定盛土・規制区域・届出/許可,"宅地造成及び特定盛土等規制法に関する次の記述のうち、誤っているものはど
れか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市及び中核市
にあってはその長をいうものとし、地方自治法に基づく施行時特例市に係る経過措置について
は考慮しないものとする。","都道府県知事は、基礎調査のために他人の占有する土地に立ち入って測量又は調査を行う
必要があるときは、その必要の限度において、当該土地に、自ら立ち入り、又はその命じた
者若しくは委任した者に立ち入らせることができ、当該土地の占有者は、正当な理由がない
限り、その立入りを拒み、又は妨げてはならない。","都道府県知事は、宅地造成等工事規制区域内の土地について、宅地造成等に伴う災害を防
止するために必要があると認める場合には、その土地の所有者に対して、擁壁等の設置等の
措置をとることを勧告することができる。","工事主は、宅地造成等工事規制区域において行われる宅地造成等に関する工事について、
工事着手後２週間以内に、宅地造成等に関する工事の施行に係る土地の周辺地域の住民に対
し、説明会の開催その他の当該宅地造成等に関する工事の内容を周知させるため必要な措置
を講じなければならない。","特定盛土等規制区域内において行われる特定盛土等又は土石の堆積に関する工事について
は、工事主は、当該工事に着手する日の30日前までに、主務省令で定めるところにより、当
該工事の計画を都道府県知事に届け出なければならない。ただし、特定盛土等又は土石の堆
積に伴う災害の発生のおそれがないと認められるものとして政令で定める工事については、
この限りでない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：工事主は、宅地造成等工事規制区域において行われる宅地造成等に関する工事について、
工事着手後２週間以内に、宅地造成等に関する工事の施行に係る土地の周辺地域の住民に対
し、説明会の開催その他の当該宅地造成等に関する工事の内容を周知させるため必要な措置
を講じなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;宅地造成等規制法
2024,20,土地区画整理法,仮換地・換地処分・保留地,"土地区画整理法に関する次の記述のうち、誤っているものはどれか。なお、こ
の問において、同法第136条の３による大都市等の特例及び条例で定める事務処理の特例は考
慮しないものとする。","仮換地が指定された場合においては、従前の宅地について権原に基づき使用し、又は収益
することができる者は、仮換地の指定の効力発生の日から換地処分の公告がある日まで、仮
換地又は仮換地について仮に使用し、若しくは収益することができる権利の目的となるべき
宅地若しくはその部分について、従前の宅地について有する権利の内容である使用又は収益
と同じ使用又は収益をすることができる。","市町村施行の土地区画整理事業において、市町村は、換地処分をした場合においては、そ
の旨を公告しなければならない。","換地計画において定められた保留地は、換地処分の公告があった日の翌日において、施行
者が取得する。","施行者は、仮換地を指定した場合において、特別の事情があるときは、その仮換地につい
て使用又は収益を開始することができる日を仮換地の指定の効力発生の日と別に定めること
ができる。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：市町村施行の土地区画整理事業において、市町村は、換地処分をした場合においては、そ
の旨を公告しなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;土地区画整理法
2024,21,農地法,3条・4条・5条・賃貸借・許可/届出,"農地に関する次の記述のうち、農地法（以下この問において「法」という。）
の規定によれば、誤っているものはどれか。","法第３条第１項の許可があったときは所有権が移転する旨の停止条件付売買契約を原因と
する所有権移転の仮登記の申請を行う場合にも、農業委員会の許可が必要である。","法第５条第１項の許可申請書の提出において、法ではその申請に係る権利の設定又は移転
に関し民事調停法により調停が成立した場合など一定の場合を除き、当事者は連署した申請
書を提出しなければならないとされている。","法では、農地の賃貸借で期間の定めがあるものについては、一定の場合を除き、期間満了
の１年前から６か月前までの間に更新拒絶の通知をしないと従前の賃貸借と同一の条件で更
に賃貸借したものとみなされる。","法では、農地の賃貸借の当事者は、当該賃貸借の合意による解約が民事調停法による農事
調停によって行われる場合など一定の場合を除き、知事の許可を受けなければ、当該賃貸借
について、解除、解約の申入れ、合意解約、更新拒絶の通知をしてはならないとされている。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：法第３条第１項の許可があったときは所有権が移転する旨の停止条件付売買契約を原因と
する所有権移転の仮登記の申請を行う場合にも、農業委員会の許可が必要である / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;農地法
2024,22,国土利用計画法,第23条・第27条の7（事後/事前届出）,"国土利用計画法（以下この問において「法」という。）第23条の届出（以下こ
の問において「事後届出」という。）及び法第27条の７の監視区域内の届出（以下この問にお
いて「事前届出」という。）に関する次の記述のうち、正しいものはどれか。なお、この問に
おいて「都道府県知事」とは、地方自治法に基づく指定都市にあってはその長をいうものとす
る。","Ａが所有する市街化区域以外の都市計画区域内の4,000㎡の土地について、宅地建物取引
業者Ｂが地上権の設定を受ける契約を締結した場合、Ｂは事後届出を行わなければならない。","宅地建物取引業者Ｃが所有する市街化区域内の3,000㎡の土地と宅地建物取引業者Ｄが所
有する都市計画区域外に所在する12,000㎡の土地を金銭の授受を伴わずに交換する契約を締
結した場合、Ｃ及びＤはともに事後届出を行う必要はない。","事前届出又は事後届出が必要な土地について、売買契約を締結したにもかかわらず所定の
期間内に当該届出をしなかった者は都道府県知事からの勧告を受けることがあるが、罰則の
適用を受けることはない。","監視区域に指定された市街化区域内に所在する土地2,500㎡について売買契約を締結しよ
うとする当事者は、契約締結の少なくとも６週間前までに事前届出を行わなければならない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：監視区域に指定された市街化区域内に所在する土地2,500㎡について売買契約を締結しよ
うとする当事者は、契約締結の少なくとも６週間前までに事前届出を行わなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;国土利用計画法
2024,23,税法,所得税（住宅ローン控除／特例併用の可否）,"住宅借入金等を有する場合の所得税額の特別控除（以下この問において「住宅
ローン控除」という。）に関する次の記述のうち、正しいものはどれか。なお、以下の居住用
家屋は、令和６年に建築基準法第６条第１項の確認（建築確認）を受けたものとする。","令和７年中に居住用家屋を居住の用に供した場合において、その前年において居住用財産
を譲渡した場合の軽減税率の特例の適用を受けているときであっても、令和７年分以後の所
得税について住宅ローン控除の適用を受けることができる。","令和７年中に居住用家屋を居住の用に供した場合において、その前年において居住用財産
の買換え等の場合の譲渡損失の損益通算の適用を受けているときであっても、令和７年分以
後の所得税について住宅ローン控除の適用を受けることができる。","令和６年中に居住用家屋の敷地の用に供するための土地を取得した場合において、令和７
年中に居住用家屋を新築して居住の用に供したときは、令和６年分の所得税について住宅ロ
ーン控除の適用を受けることができる。","令和７年中に居住用家屋を居住の用に供した場合において、その居住用家屋の取得に係る
住宅借入金等の償還期間等が契約において３年とされているときは、令和７年以後３年間の
所得税について住宅ローン控除の適用を受けることができる。","判断基準：適用要件・併用可否・非課税の範囲。 / 正解肢の要点：令和７年中に居住用家屋を居住の用に供した場合において、その前年において居住用財産
の買換え等の場合の譲渡損失の損益通算の適用を受けているときであっても、令和７年分以
後の所得税について住宅ローン控除の適用を受けることができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;税法
2024,24,税法,不動産取得税（非課税・税率・課税標準）,不動産取得税に関する次の記述のうち、正しいものはどれか。,"不動産取得税の課税標準は、不動産を取得した時における当該不動産の売買価格であるか
ら、固定資産税の課税標準である固定資産の評価額とは異なるものである。","不動産取得税の課税標準となるべき額が、土地の取得にあっては10万円、家屋の取得のう
ち建築に係るものにあっては１戸につき23万円、その他のものにあっては１戸につき12万円
に満たない場合においては、不動産取得税が課されない。","不動産取得税は、不動産の取得に対して課される税であるので、法人の合併により不動産
を取得した場合においても、不動産取得税が課される。","令和７年４月に個人が取得した住宅及び住宅用地に係る不動産取得税の税率は３％である
が、住宅以外の家屋及び土地に係る不動産取得税の税率は４％である。","判断基準：適用要件・併用可否・非課税の範囲。 / 正解肢の要点：不動産取得税の課税標準となるべき額が、土地の取得にあっては10万円、家屋の取得のう
ち建築に係るものにあっては１戸につき23万円、その他のものにあっては１戸につき12万円
に満たない場合においては、不動産取得税が課されない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;税法
2024,25,不動産鑑定評価,原則・手法・概念（同一需給圏・最有効使用等）,"不動産の鑑定評価に関する次の記述のうち、不動産鑑定評価基準によれば、誤
っているものはどれか。","同一需給圏とは、一般に対象不動産と代替関係が成立して、その価格の形成について相互
に影響を及ぼすような関係にある他の不動産の存する圏域をいう。","対象不動産について、依頼目的に応じ対象不動産に係る価格形成要因のうち地域要因又は
個別的要因について想定上の条件を設定する場合がある。","不動産の価格は、その不動産の効用が最高度に発揮される可能性に最も富む使用を前提と
して把握される価格を標準として形成されるが、これを適合の原則という。","収益還元法は、対象不動産が将来生み出すであろうと期待される純収益の現在価値の総和
を求めることにより対象不動産の試算価格を求める手法であり、賃貸用不動産又は賃貸以外
の事業の用に供する不動産の価格を求める場合に特に有効である。","判断基準：基準の定義（最有効使用・収益還元法等）。 / 正解肢の要点：不動産の価格は、その不動産の効用が最高度に発揮される可能性に最も富む使用を前提と
して把握される価格を標準として形成されるが、これを適合の原則という / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;不動産鑑定評価
