year,q_no,correct_number,correct_label,correct_text,explanation,difficulty,tags
2024,11,3,C,借地権を設定する場合において、存続期間を定めなかったときは、その期間は30年となる。,判断基準：各特別法の条文要件と手続。 / 正解肢の要点：借地権を設定する場合において、存続期間を定めなかったときは、その期間は30年となる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,4,R6;借地借家法
2024,12,3,C,"Ｂが契約期間中に相続人なしで死亡した場合において、婚姻はしていないが事実上夫婦と
同様の関係にあった同居者Ｄがあるときは、契約①の場合も契約②の場合も、Ａに反対の意
思表示をしないＤは、建物の賃貸借契約に関し、Ｂの権利義務を承継する。","判断基準：各特別法の条文要件と手続。 / 正解肢の要点：Ｂが契約期間中に相続人なしで死亡した場合において、婚姻はしていないが事実上夫婦と
同様の関係にあった同居者Ｄがあるときは、契約①の場合も契約②の場合も、Ａに反対の意
思表示をしないＤは、建物の賃貸借契約に関し、Ｂの権利義務を承継する / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;借地借家法
2024,13,1,A,"各共有者の共用部分の持分は、規約に別段の定めがない限り、共有者数で等分することと
されている。","判断基準：各特別法の条文要件と手続。 / 正解肢の要点：各共有者の共用部分の持分は、規約に別段の定めがない限り、共有者数で等分することと
されている / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;区分所有法
2024,14,3,C,"相続人ではない者に対する遺贈による所有権の移転の登記は、登記権利者が単独で申請す
ることができる。","判断基準：各特別法の条文要件と手続。 / 正解肢の要点：相続人ではない者に対する遺贈による所有権の移転の登記は、登記権利者が単独で申請す
ることができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;不動産登記法
2024,15,4,D,"地区計画は、用途地域が定められている土地の区域についてのみ都市計画に定められるも
のであり、また、地区計画に関する都市計画を定めるに当たっては、地区整備計画を都市計
画に定めなければならない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：地区計画は、用途地域が定められている土地の区域についてのみ都市計画に定められるも
のであり、また、地区計画に関する都市計画を定めるに当たっては、地区整備計画を都市計
画に定めなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;都市計画法
2024,16,1,A,"市街化区域内において行う、医療法に規定する病院を建築するための1,000㎡の開発行為
については、法第29条に基づく都道府県知事の許可を得る必要がある。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：市街化区域内において行う、医療法に規定する病院を建築するための1,000㎡の開発行為
については、法第29条に基づく都道府県知事の許可を得る必要がある / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;都市計画法
2024,17,2,B,"特定行政庁は、建築基準法の規定に違反した建築物（国、都道府県又は建築主事を置く市
町村の建築物を除く。）の所有者に対して、緊急の必要があり、仮に当該建築物の使用禁止
又は使用制限の命令をする場合であっても、意見書の提出先等を記載した通知書の交付等の
手続をとらなければならない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：特定行政庁は、建築基準法の規定に違反した建築物（国、都道府県又は建築主事を置く市
町村の建築物を除く / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;建築基準法
2024,18,2,B,"特定用途誘導地区内において、都市計画で建築物の高さの最高限度が定められていたとし
ても、特定行政庁が用途上又は構造上やむを得ないと認めて許可したものについては、当該
最高限度を超えてよい。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：特定用途誘導地区内において、都市計画で建築物の高さの最高限度が定められていたとし
ても、特定行政庁が用途上又は構造上やむを得ないと認めて許可したものについては、当該
最高限度を超えてよい / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;建築基準法
2024,19,3,C,"工事主は、宅地造成等工事規制区域において行われる宅地造成等に関する工事について、
工事着手後２週間以内に、宅地造成等に関する工事の施行に係る土地の周辺地域の住民に対
し、説明会の開催その他の当該宅地造成等に関する工事の内容を周知させるため必要な措置
を講じなければならない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：工事主は、宅地造成等工事規制区域において行われる宅地造成等に関する工事について、
工事着手後２週間以内に、宅地造成等に関する工事の施行に係る土地の周辺地域の住民に対
し、説明会の開催その他の当該宅地造成等に関する工事の内容を周知させるため必要な措置
を講じなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;宅地造成等規制法
2024,20,2,B,"市町村施行の土地区画整理事業において、市町村は、換地処分をした場合においては、そ
の旨を公告しなければならない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：市町村施行の土地区画整理事業において、市町村は、換地処分をした場合においては、そ
の旨を公告しなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;土地区画整理法
2024,21,1,A,"法第３条第１項の許可があったときは所有権が移転する旨の停止条件付売買契約を原因と
する所有権移転の仮登記の申請を行う場合にも、農業委員会の許可が必要である。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：法第３条第１項の許可があったときは所有権が移転する旨の停止条件付売買契約を原因と
する所有権移転の仮登記の申請を行う場合にも、農業委員会の許可が必要である / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;農地法
2024,22,4,D,"監視区域に指定された市街化区域内に所在する土地2,500㎡について売買契約を締結しよ
うとする当事者は、契約締結の少なくとも６週間前までに事前届出を行わなければならない。","判断基準：許可／届出の要否・主体・例外。 / 正解肢の要点：監視区域に指定された市街化区域内に所在する土地2,500㎡について売買契約を締結しよ
うとする当事者は、契約締結の少なくとも６週間前までに事前届出を行わなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;国土利用計画法
2024,23,2,B,"令和７年中に居住用家屋を居住の用に供した場合において、その前年において居住用財産
の買換え等の場合の譲渡損失の損益通算の適用を受けているときであっても、令和７年分以
後の所得税について住宅ローン控除の適用を受けることができる。","判断基準：適用要件・併用可否・非課税の範囲。 / 正解肢の要点：令和７年中に居住用家屋を居住の用に供した場合において、その前年において居住用財産
の買換え等の場合の譲渡損失の損益通算の適用を受けているときであっても、令和７年分以
後の所得税について住宅ローン控除の適用を受けることができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;税法
2024,24,2,B,"不動産取得税の課税標準となるべき額が、土地の取得にあっては10万円、家屋の取得のう
ち建築に係るものにあっては１戸につき23万円、その他のものにあっては１戸につき12万円
に満たない場合においては、不動産取得税が課されない。","判断基準：適用要件・併用可否・非課税の範囲。 / 正解肢の要点：不動産取得税の課税標準となるべき額が、土地の取得にあっては10万円、家屋の取得のう
ち建築に係るものにあっては１戸につき23万円、その他のものにあっては１戸につき12万円
に満たない場合においては、不動産取得税が課されない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;税法
2024,25,3,C,"不動産の価格は、その不動産の効用が最高度に発揮される可能性に最も富む使用を前提と
して把握される価格を標準として形成されるが、これを適合の原則という。","判断基準：基準の定義（最有効使用・収益還元法等）。 / 正解肢の要点：不動産の価格は、その不動産の効用が最高度に発揮される可能性に最も富む使用を前提と
して把握される価格を標準として形成されるが、これを適合の原則という / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;不動産鑑定評価
2024,26,3,C,三つ,判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解は「三つ」。各小問の真偽で数を合わせる。 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,2,R6;宅建業法
2024,27,4,D,"Ａは甲県内にある主たる事務所とは別に、乙県内に新たに従たる事務所を設置したときは、
営業保証金を主たる事務所の最寄りの供託所に供託しなければならない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：Ａは甲県内にある主たる事務所とは別に、乙県内に新たに従たる事務所を設置したときは、
営業保証金を主たる事務所の最寄りの供託所に供託しなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;宅建業法
2024,28,2,B,イ、ウ,判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解は「二つ」。各小問の真偽で数を合わせる。 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,3,R6;宅建業法
2024,29,4,D,"宅地建物取引業者は、その事務所唯一の専任の宅地建物取引士が宅地建物取引士証の有効
期間の経過により効力を失い宅地建物取引士でなくなったときは、２週間以内に法第31条の
３第１項の規定に適合させるため必要な措置を執らなければならない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：宅地建物取引業者は、その事務所唯一の専任の宅地建物取引士が宅地建物取引士証の有効
期間の経過により効力を失い宅地建物取引士でなくなったときは、２週間以内に法第31条の
３第１項の規定に適合させるため必要な措置を執らなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;宅建業法
2024,30,4,D,"Ｂは、自らの申出により、Ｂが融資を受ける銀行（宅地建物取引業者ではない。）におい
て、宅地の買受けの申込み及びＡとの売買契約の締結をした場合、クーリング・オフによる
当該売買契約の解除を行うことができない。",判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：Ｂは、自らの申出により、Ｂが融資を受ける銀行（宅地建物取引業者ではない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,3,R6;宅建業法
2024,31,1,A,"国土交通大臣又は都道府県知事は、その免許を受けた宅地建物取引業者が法第65条第１項
の規定による指示に従わない場合、その業務の全部又は一部の停止を命ずることができ、業
務の停止の処分に違反した場合、免許を取り消さなければならない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：国土交通大臣又は都道府県知事は、その免許を受けた宅地建物取引業者が法第65条第１項
の規定による指示に従わない場合、その業務の全部又は一部の停止を命ずることができ、業
務の停止の処分に違反した場合、免許を取り消さなければならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;宅建業法
2024,32,3,C,"Ａに対して当該中古住宅について買受けの申込みがなかった場合でも、ＡはＢに対して、
当該契約に係る業務の処理状況を２週間に１回以上報告しなければならないが、その報告は
必ずしも書面で行う必要はない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：Ａに対して当該中古住宅について買受けの申込みがなかった場合でも、ＡはＢに対して、
当該契約に係る業務の処理状況を２週間に１回以上報告しなければならないが、その報告は
必ずしも書面で行う必要はない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",1,R6;宅建業法
2024,33,3,C,"造成工事に必要とされる法令に基づく許可等の処分があった宅地について、工事完了前に
当該宅地の販売に関する広告をするときは、法令に基づく許可等の処分があったことを明示
すれば、取引態様の別について明示する必要はない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：造成工事に必要とされる法令に基づく許可等の処分があった宅地について、工事完了前に
当該宅地の販売に関する広告をするときは、法令に基づく許可等の処分があったことを明示
すれば、取引態様の別について明示する必要はない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;宅建業法
2024,34,3,C,"当該建物が建築工事の完了前の建物である場合において、Ａは、保全措置を講じずに、Ｂ
から手付金300万円を受領することができる。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：当該建物が建築工事の完了前の建物である場合において、Ａは、保全措置を講じずに、Ｂ
から手付金300万円を受領することができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;宅建業法
2024,35,2,B,"Ａが媒介業者として関与する建物賃貸借契約において、37条書面の電磁的方法による提供
を行う場合、その方法は37条書面の交付に係る宅地建物取引士が明示されるものでなければ
ならない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：Ａが媒介業者として関与する建物賃貸借契約において、37条書面の電磁的方法による提供
を行う場合、その方法は37条書面の交付に係る宅地建物取引士が明示されるものでなければ
ならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;宅建業法
2024,36,4,D,"宅地建物取引業者は、一部の事務所を廃止し営業保証金を取り戻そうとする場合には、供
託した営業保証金につき還付を請求する権利を有する者に対し、公告をすることなく営業保
証金を取り戻すことができる。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：宅地建物取引業者は、一部の事務所を廃止し営業保証金を取り戻そうとする場合には、供
託した営業保証金につき還付を請求する権利を有する者に対し、公告をすることなく営業保
証金を取り戻すことができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;宅建業法
2024,37,3,C,三つ,判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解は「三つ」。各小問の真偽で数を合わせる。 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,3,R6;宅建業法
2024,38,4,D,"宅地建物取引業者Ｅ（丙県知事免許）の免許の更新に当たって、丙県知事は宅地建物取引
業法第３条の２に基づき条件を付すことができ、Ｅが免許の更新に当たって付された条件に
違反したときは、丙県知事はＥの免許を取り消すことができる。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：宅地建物取引業者Ｅ（丙県知事免許）の免許の更新に当たって、丙県知事は宅地建物取引
業法第３条の２に基づき条件を付すことができ、Ｅが免許の更新に当たって付された条件に
違反したときは、丙県知事はＥの免許を取り消すことができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;宅建業法
2024,39,4,D,"届出をすべき場所として、宅地建物取引業者が業務に関し展示会その他これに類する催し
を実施する場所が定められているが、その催しを開始する10日前までに、実施場所を管轄す
る都道府県知事に届け出なければならず、免許を受けた国土交通大臣又は都道府県知事に届
け出る必要はない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：届出をすべき場所として、宅地建物取引業者が業務に関し展示会その他これに類する催し
を実施する場所が定められているが、その催しを開始する10日前までに、実施場所を管轄す
る都道府県知事に届け出なければならず、免許を受けた国土交通大臣又は都道府県知事に届
け出る必要はない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;宅建業法
2024,40,2,B,イ、ウ,判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解は「二つ」。各小問の真偽で数を合わせる。 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,1,R6;宅建業法
2024,41,1,A,一つ,判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解は「一つ」。各小問の真偽で数を合わせる。 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,4,R6;宅建業法
2024,42,2,B,"宅地建物取引業者は、宅地又は建物の売買の契約の締結の勧誘をするに際し、宅地建物取
引業者の相手方等に対し、宅地又は建物の引渡しの時期について故意に不実のことを告げた
場合であっても、契約が成立したときに宅地建物取引業法第37条の規定により交付すべき書
面に当該事項を正確に記載すればよい。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：宅地建物取引業者は、宅地又は建物の売買の契約の締結の勧誘をするに際し、宅地建物取
引業者の相手方等に対し、宅地又は建物の引渡しの時期について故意に不実のことを告げた
場合であっても、契約が成立したときに宅地建物取引業法第37条の規定により交付すべき書
面に当該事項を正確に記載すればよい / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;宅建業法/ガイドライン
2024,43,4,D,"宅地建物取引士証に記載される宅地建物取引士の氏名については現姓を用いなければなら
ず、旧姓を併記することは認められていない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：宅地建物取引士証に記載される宅地建物取引士の氏名については現姓を用いなければなら
ず、旧姓を併記することは認められていない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;宅建業法
2024,44,1,A,"Ａは、建築工事完了前の建物の売買契約を媒介したときに、37条書面に記載する当該建物
を特定するために必要な表示について、宅地建物取引業法第35条の規定に基づく重要事項の
説明において使用した図書を交付することによって行った。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：Ａは、建築工事完了前の建物の売買契約を媒介したときに、37条書面に記載する当該建物
を特定するために必要な表示について、宅地建物取引業法第35条の規定に基づく重要事項の
説明において使用した図書を交付することによって行った / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;宅建業法
2024,45,2,B,"自ら売主として新築住宅を宅地建物取引業者ではない買主に引き渡した宅地建物取引業者
は、基準日に係る保証金の供託及び保険契約の締結の状況について届出をしなければ、当該
基準日の翌日から起算して50日を経過した日以後においては、新たに自ら売主となる新築住
宅の売買契約を締結してはならない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：自ら売主として新築住宅を宅地建物取引業者ではない買主に引き渡した宅地建物取引業者
は、基準日に係る保証金の供託及び保険契約の締結の状況について届出をしなければ、当該
基準日の翌日から起算して50日を経過した日以後においては、新たに自ら売主となる新築住
宅の売買契約を締結してはならない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;特定住宅瑕疵担保
2024,46,1,A,"証券化支援業務（買取型）において、機構による譲受けの対象となる住宅の購入に必要な
資金の貸付けに係る金融機関の貸付債権には、当該住宅の購入に付随する当該住宅の改良に
必要な資金は含まれない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：証券化支援業務（買取型）において、機構による譲受けの対象となる住宅の購入に必要な
資金の貸付けに係る金融機関の貸付債権には、当該住宅の購入に付随する当該住宅の改良に
必要な資金は含まれない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;住宅金融支援機構
2024,47,4,D,"居住の用に供されたことはないが建築後１年以上経過した一戸建て住宅について、新築で
ある旨を表示することはできない。","判断基準：条文・省令・ガイドラインの必須記載／禁止行為。 / 正解肢の要点：居住の用に供されたことはないが建築後１年以上経過した一戸建て住宅について、新築で
ある旨を表示することはできない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;景品表示/公正競争規約
2024,48,1,A,"令和６年地価公示（令和６年３月公表）によれば、令和５年１月以降の１年間の地価の動
向は、三大都市圏・地方圏ともに、全用途平均・住宅地・商業地のいずれも３年連続で上昇
した。","判断基準：公表値の真偽。 / 正解肢の要点：令和６年地価公示（令和６年３月公表）によれば、令和５年１月以降の１年間の地価の動
向は、三大都市圏・地方圏ともに、全用途平均・住宅地・商業地のいずれも３年連続で上昇
した / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;統計
2024,49,2,B,"高さ２ｍ以下の擁壁であれば、水抜き孔を有しなくても、地震による被害が生じることは
ない。","判断基準：用語定義と一般原則。 / 正解肢の要点：高さ２ｍ以下の擁壁であれば、水抜き孔を有しなくても、地震による被害が生じることは
ない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",1,R6;土地
2024,50,3,C,"ブレース構造は、骨組全てに用いることが多く、ラーメン構造など他の構造と併用するこ
とはない。","判断基準：用語定義と一般原則。 / 正解肢の要点：ブレース構造は、骨組全てに用いることが多く、ラーメン構造など他の構造と併用するこ
とはない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;建物
2023,1,1,A,"遺産である不動産から、相続開始から遺産分割までの間に生じた賃料債権は、遺産である
不動産が遺産分割によって複数の相続人のうちの一人に帰属することとなった場合、当該不
動産が帰属することになった相続人が相続開始時にさかのぼって取得する。","判断基準：条文の文言＋主要判例の結論。 / 正解の要点：遺産である不動産から、相続開始から遺産分割までの間に生じた賃料債権は、遺産である
不動産が遺産分割によって複数の相続人のうちの一人に帰属することとなった場合、当該不
動産が帰属することになった相続人が相続開始時にさかのぼって取得する / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎",3,R5;民法
2023,2,1,A,"土地の所有者は、境界標の調査又は境界に関する測量等の一定の目的のために必要な範囲
内で隣地を使用することができる場合であっても、住家については、その家の居住者の承諾
がなければ、当該住家に立ち入ることはできない。","判断基準：条文の文言＋主要判例の結論。 / 正解の要点：土地の所有者は、境界標の調査又は境界に関する測量等の一定の目的のために必要な範囲
内で隣地を使用することができる場合であっても、住家については、その家の居住者の承諾
がなければ、当該住家に立ち入ることはできない / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎",4,R5;民法
2023,3,2,B,"Ｂが材料を提供して増築した部分に契約不適合がある場合、Ａは工事が終了した日から１
年以内にその旨をＢに通知しなければ、契約不適合を理由とした修補をＢに対して請求する
ことはできない。","判断基準：条文の文言＋主要判例の結論。 / 正解の要点：Ｂが材料を提供して増築した部分に契約不適合がある場合、Ａは工事が終了した日から１
年以内にその旨をＢに通知しなければ、契約不適合を理由とした修補をＢに対して請求する
ことはできない / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎",4,R5;民法
2023,4,4,D,エ,判断基準：条文の文言＋主要判例の結論。 / 正解の要点：エ / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎,4,R5;民法
2023,5,4,D,"家庭裁判所により選任された管理人は、保存行為として不在者の自宅を修理することがで
きるほか、家庭裁判所の許可を得てこれを売却することができる。","判断基準：条文の文言＋主要判例の結論。 / 正解の要点：家庭裁判所により選任された管理人は、保存行為として不在者の自宅を修理することがで
きるほか、家庭裁判所の許可を得てこれを売却することができる / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎",5,R5;民法
2023,6,3,C,三つ,判断基準：条文の文言＋主要判例の結論。 / 正解の要点：三つ / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎,5,R5;民法
2023,7,3,C,Ｃには、Ｂに対し、配偶者居住権の設定の登記を備えさせる義務がある。,判断基準：条文の文言＋主要判例の結論。 / 正解の要点：Ｃには、Ｂに対し、配偶者居住権の設定の登記を備えさせる義務がある / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎,5,R5;民法
2023,8,3,C,"本件売買契約につき、取消しがなされないままＡが成年に達した場合、本件売買契約につ
いてＢが反対していたとしても、自らが取消権を有すると知ったＡは、本件売買契約を追認
することができ、追認後は本件売買契約を取り消すことはできなくなる。","判断基準：条文の文言＋主要判例の結論。 / 正解の要点：本件売買契約につき、取消しがなされないままＡが成年に達した場合、本件売買契約につ
いてＢが反対していたとしても、自らが取消権を有すると知ったＡは、本件売買契約を追認
することができ、追認後は本件売買契約を取り消すことはできなくなる / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎",4,R5;民法
2023,9,2,B,"甲建物の修繕が必要である場合において、ＢがＡに修繕が必要である旨を通知したにもか
かわらず、Ａが必要な修繕を直ちにしないときは、Ｂは甲建物の修繕をすることができる。","判断基準：条文の文言＋主要判例の結論。 / 正解の要点：甲建物の修繕が必要である場合において、ＢがＡに修繕が必要である旨を通知したにもか
かわらず、Ａが必要な修繕を直ちにしないときは、Ｂは甲建物の修繕をすることができる / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎",5,R5;民法
2023,10,3,C,400万円,判断基準：条文の文言＋主要判例の結論。 / 正解の要点：400万円 / 落とし穴：用語の取り違え／手続主体の誤り／例外規定の見落とし。 / 関連：総則・債権・物権の基礎,5,R5;民法
